,Tweets,Score
465, the Mini and the Campervan happy,1
919, but Genix deserves so much more than Myth! Open your Eyes The Community want,1
1788, hyoug me longer than 10 secs. Hyoug me even when i don%27t want you to unhappy ,0
1407,ehh i cant DM you unhappy ,0
1011,Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha.2,1
409,Rose come to him! He's really your enthusiast :-D using SO MUCH not SO MAY!  :-)~~~,1
1565,I really enjoyed horrizion zero dawn but no idea what to play next unhappy ,0
1226,Shaandaar,0
1223,Yeah did update to 16.04 ,0
1874,this is jimin to yoongi unhappy  .3,0
1626,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.6,0
697,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it.1,1
1457,Sad story unhappy  ,0
1158,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get it.2,1
1413,I love got7 but god i am bored unhappy ,0
118,Thanks again for notifying us! We have updated our add-on plans accordingly happy,1
1353,Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? unhappy ,0
2044,Last day of the camp tomorrow,0
120,A nice morning working from today. Lovely atmosphere,1
2178,I face swapped a cat with a dog and it's really upsetting unhappy  .4,0
370,Thanks for the recent follow Happy to connect happy  have a great Thursday..3,1
609,rt for 50 ffs-rt pinned tweet!!-be patient -legiiiiiiit-no saved accounts happy,1
772,lolo bin are you fucking mental screenshot :D HAHA,1
134,Its hard to see your best friend with another girl happy,1
643,Good morning every one.3,1
1134, have a great Thursday! Looking forward to reading your tweets happy   Want this,1
1150,Younger. Softer. crying with joy,1
1787,Jyoust hyoug me,0
2173,red velvet too unhappy  ,0
424,You know exactly what I'm talking about happy,1
1157,co,1
1041,I dedicate this song to,1
318,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.1,1
688,to  pork pies happy,1
1635,True! Khilado kuch unhappy ,0
52,sounds like a lot of fun :D I like it,1
233,instant message fine yoo,1
1890,I want to give him everything that makes him happy just to see this smile unhappy ,0
214,mutual: let's talk more!me: for sure!mutual:  happy  me:.1,1
501, you'll be see.1,1
2, beauty and personality. :)KISSES TheFashionIcon,1
1828, sorry guys unhappy ,0
1056,this guy got me into exo back in 2013. he was also my very first bias in kpop. to be honest i miss him so much. happy birthd,1
1987,why did she delete the tweet,0
1968,i miss minmin crying ,0
1703,Why no available in the U.K.? unhappy ,0
1663,I face swapped a cat with a dog and it's really upsetting unhappy  .2,0
798,Thank you crew happy.3,1
786,AVI for my man :)Phone made like always wink,1
1994,we can get pork katsudon at Tokyo Diner! Tho it doesn't have egg in it unhappy ,0
2056,Koalas are dying of thirst  and it's all because of us unhappy  .9,0
1940,Don kray denial of normal bi say ,0
1189,I miss going to gigs in Liverpool unhappy ,0
1194,My area's not on the list unhappy  think I'll go LibDems anyway,0
1007,Hahaa I'm second best always happy,1
716, getting 70k,1
920,Hellooo.. happy  satans-daughter (taylynnox),1
1151,Happy many days,1
47,Gentle reminder on our TP guidelines happy  please read and spread. Thank you. happy KISSES TheFashionIcon,1
248,He's the best happy,1
851,We bought a 523 litre fridge. I am applying for cold storage license in Bhayander West :D,1
1549, and have fun ,0
1168,Thanks for the recent follow Happy to connect happy  have a great Thursday..32,1
190,Hey,1
1403,I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... unhappy ,0
657,.Thanks so much for the RT,1
209,I hit that,1
203,I think I'm probably beyond repair by the sounds of tea etiquette happy,1
7,happy anniv ming and papi!!!!! love love happy,1
604,Thank you so much sir happy  please watch the film and call me happy,1
607,they are real subs and here's the link for the video happy,1
880,And that's what's important! happy  that's what I'm trying to remember.,1
1118,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.4,1
509,I love my six pack so much,1
1354,we don%27t talk anymore like we used to do unhappy .1,0
725, you can get a professional one here,1
1255, oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,0
473,Thank you so much my friend smile  xx,1
1476,I can't access my school emails from any web browser unhappy  Yet I have so much homework for all my subjects on there,0
199,Spending my night talking to my beloved ???Perfect.I LOVE YOU MAN! happy,1
2297,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .10,0
445,mutual: let's talk more!me: for sure!mutual:  happy  me:.4,1
1191,it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,0
272,LADIES!  - tell me why yoyoyou don't play golf. What wyoyoyoud make yoyoyou want to play? Top 3 reasons yoyoyou DO play? heyjyoyoyoude66info,1
830, this is the main reason I drink Total selflessness :D,1
441,how do we book the cars service for the swards tommorow :D,1
749,Seokjinie went to Everland today~ I guess he forgot that he's an idol.1,1
1608,0 motivation to study unhappy  ,0
758,So Happy It's Thursday*,1
634,You say VUCA,1
1548,i love youu so much unhappy  thank you,0
2005,suuuuuuuuss scared crying ,0
1534,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,0
577, delivering the Conservative message of strong  stable leadership. happy,1
535,Have I told you lately that olive juice? :D,1
739,Thanks for the recent follow Happy to connect happy  have a great Thursday..14,1
799,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it.2,1
600,because you are one happy,1
34,thanks for being top new followers - have a great week happy,1
1665,I miss my boo so much unhappy ,0
2256,shouldn't keep Kenyans complaining on ,0
1270,i want to make waffles unhappy ,0
567,no pressure happy,1
1664,failed unhappy  .g hehe,0
2217,ohh normally I feel sick when I drink like 3-4 cups of coffee ,0
269,Appreciate your recent retweets Have a great Thursday happy,1
1460,Looks awesome Annette,0
470,I considered asking where that came from. :D,1
1409,why is italian easier than spanish unhappy ,0
1798,I ordered car yesterday,0
452, can list them if you want happy,1
1722,Call center nice game 4/20 unhappy ,0
1379,Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though unhappy ,0
960,AVI for my man :)Phone made like always wink.1,1
1794,i miss you too unhappy ,0
1089,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.6,1
1009,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.3,1
23,Happy 420 happy  pass it to your followers!,1
1860,Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,0
1740,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.8,0
748,Share the love: thanks for being top new followers this week happy  Want it,1
1412,i want to cry unhappy ,0
1202,Becoz if we will depend on your promoting its waste of hardwork to all team who ,0
1091,I say keep with it. happy,1
1591,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.5,0
1479, that fall was a mess unhappy ,0
1757,  i was going to add bazza,0
1792,I DON'T KNOW WHERE I WAS AT THIS TIME BUT I HAVE RETWEETED NOW AND I'VE BEEN WAITING THE DM FOR A LONG TIME unhappy ,0
947,i took a full drink into my uber; i guess you could say instant message pretty wild. These are the Tuesdays we'll never forget happy,1
1748,poor baby unhappy  I hate people .1,0
1279,I want a puppy now unhappy ,0
1690,She loved Beth so much unhappy ,0
325,okay happy,1
585, I guess it's a good thing then to bring it right to the foreground and put it right in their face,1
778,This was awesome--  has two fill-ins this week happy,1
2023,Who got to pen today man crying ,0
2048,now i don%27t want to go camp unhappy ,0
724,Hey.1,1
812,Ruby was rehomed for times before she was for months old  now loves her forever home. Pls always consider rescue when,1
1043,stay cool ,1
267,As in most used. Stats don't care about motivation happy,1
713, our lovely lunch menu is sure to please! smile,1
416,Awesome recommendation Jess! Listened to the,1
1923,Trying to get in touch with but their numbers appear to be down! unhappy ,0
864,Share the love:thanks for being top new followers this week happy   Want this,1
489,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via,1
2080,So I may be one of those workers who are not properly compensated unhappy ,0
856,good luck! You have my vote smile,1
218, owner told me about it (as in article) smile,1
2100,He's not beating the two favourites here anyway so I'll stop caring about this match,0
2127,ikr!! unhappy  oki welcome sam ,0
1293,give me a chance in west server unhappy ,0
652, let me know!  :-)(I'M A CHAMPION!!!!!)Elder Lenore A. ArtisMinistries...,1
1718,Cram reading unhappy ,0
2126, basketball etc theyre all restrict.Threw ,0
1526,Super unhappy ,0
979,Hey thanks for being top High Value Members of last week,1
1979,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.13,0
99,Miss Petite happy Thursday happy   looking forward to the weekend?,1
672,Hello everyone,1
30,Never known how hard it is until last to  days how to resist temptation to enter politics debates on social media happy  stood firm so far,1
1031,Thats sooooooooooooo sick!!!! xD Thanks so much for making it Kin!! I love it! :D,1
1090,thanks for the recent follow. Much appreciated happy   Want this ?.3,1
24,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,1
435,Seems you like my black lingerie picture then happy,1
982,I check Beautiful News every single day,1
1415,Let's have dinneeeer please unhappy ,0
770,i wasn't saying i read a book today.1,1
1183,ngam to  weeks left for cadet pilot exam crying with joy,1
592,Hey thanks for being top new followers this week! Much appreciated happy.2,1
1074, try the front door,1
1034,So excited for ball to start smile    my baby is in minor B and I absolutely love watching them play,1
1958,Guess who's not getting a unicorn frappuccino because they're sold out unhappy .1,0
2181,I'm just really soft spoken unhappy ,0
1205,cant speak japanese ::(,0
1738,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  .1,0
1333,unhappy  sorry to hear this.....,0
1395,what the fuck don%27t unhappy ,0
720,Hello everyone.1,1
1753,But i want unhappy  that looks so yummy hehehe.,0
1069,Slayin_Bodies Going Live...Please Tune In...Thank You happy,1
1838,White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,0
948,It's a very cute picture though :D,1
1218,Ouchhhhh unhappy  ,0
1204,major waffle cravings right now sad ,0
1496,i really really need them right now unhappy ,0
756,TICKETS AVAILABLE NOW for The 401 Festival of Running 2017,1
1607,This happens ALL the time!  unhappy  ,0
1964,This picture makes me sad unhappy  ,0
1, fitness,1
2064,Definitely my arms unhappy  .15,0
1681,Koalas are dying of thirst  and it's all because of us unhappy  .4,0
1042,Thanks brother ,1
1977,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  .3,0
2031,Ps4 mate,0
544,Episode two now crying with joy,1
29,You deserve a vacation happy,1
1445,My only one cat yang manja sangat and now someone has took him unhappy  ,0
796,thanks,1
380,She also makes some of the most beautiful art (my biggest inspo) All for sale if anyone is interested happy,1
1701,are dying of thirst  and it's all because of us unhappy   .1,0
185,Mythbuster/20 happy,1
1609,happy birthday sweet sweet girl! i hope you have the best day ever! love and miss you so much unhappy   ,0
1447,And this tweet made me cry!! crying ,0
2065,oh my god what the heck i'm so sorry! this was one of my favorites as well unhappy ,0
707,A7atein Because One 'A7a' Just Isn't Enough ({}) :D,1
167,Bill Nye Answers Science Questions From Twitter | WIRED,1
77,2nd Cousin Vlad !!!!! maybe thats a message from the Hockey G,1
1094,Thanks for the recent follow Happy to connect happy  have a great Thursday..28,1
254,Wow awesome GOG! thanks happy,1
701, much appreciated happy  Want it,1
973,Teaser coming out today at 4pm!Story.1,1
1724,Follow me too unhappy  ,0
2270,Hi Ashish! We've an update regarding your concern but your number was switched off unhappy  Please share another suitable time.. cont1,0
1737,I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy ,0
2213,my puppies deserves all better unhappy  .3,0
1769,sounds family ,0
1098,No worries happy,1
1309,I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,0
760,I'm on a road with no destination . I'm just driving with a hope to find some place I like and stay there,1
1317, rocks. next question - where is my astro unhappy  ? ,0
1366,Summer's not in our school's vocabulary unhappy  We need air. Please tell ,0
2290,when will you notice me? unhappy  ,0
2291,same unhappy  ,0
296,One by one Allah ease my problem . Lot of thanks to Him crying with joy,1
349,April is really really bloody. I'm so proud of our boys crying with joy,1
1418,Keep looking for the things I bought yesterday in my dream unhappy ,0
2296,unhappy  they not ,0
2041,this is jimin to yoongi unhappy  .4,0
1802,I literally couldn't see a thing when they were at the back of the stage,0
1842,give me my own AHN MINHYUK juseyoooo unhappy ,0
1162,thanks for the recent follow. Much appreciated happy   Want this ?.4,1
816,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via.2,1
1564,Please follow me . I have been trying to get your follow for a long time unhappy  . ,0
845,That would be a great trick happy.3,1
912,i always knew you woyould like this one better :D hahaha.,1
353,Nothing could be better happy.4,1
808,Thanks for the recent follow Happy to connect happy  have a great Thursday..17,1
127,Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!,1
1818,U4v9rr I wish I had noted the gentleman's name unhappy  but if you find out who he is,0
1436,When are you going to notice yous? unhappy ,0
1652,i cant find my striped shirt unhappy  so instant message wearing the one that says what is your favorite thing? with lucas in the middle,0
311,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it.2,1
256,YES!!! Neil Gaiman for life! :D,1
800,Sup guys? :D,1
447,thanks a lot,1
1167,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this?.1,1
885,Can you guys make the Japanese Greninja's and Waveguider come as well? happy,1
1082,........Yeah sure happy,1
1137, woot! smile,1
909,thanks for the recent follow. Much appreciated happy   Want this ?.2,1
1853,sad  I don't,0
1550,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.2,0
1944,Definitely my arms unhappy  .12,0
1782,My moms leaving today to go out of town and I already miss her unhappy ,0
1882,I think that's one of the hottest part of your body  ,0
478,I used to like my neighbours,1
1696, flavorful dream ,0
2246,on the way,0
28,Mmmmmmmm love naughty wives smile,1
196,thanks :D,1
980, have a great,1
1213,noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,0
60,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it,1
538,.Thanks happy,1
174,Wow i just made a JS compressor that actually checks scoped variables existing. Turns out i have a few issues happy  Linters may be useful happy,1
1999,Oh no unhappy ,0
1729,my back hurts sad ,0
1022, you change your whole life happy,1
1592,Well that's not good unhappy ,0
2166,instant message still hoping unhappy  .1,0
2240,June 5 - June 16 unhappy  ,0
1142,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Get FREE?.1,1
436,Thanks for being top engaged community members this week happy   Want this,1
1190,There isnt a new Riverdale tonight ? unhappy ,0
715,What a sad life it must be,1
1867, but in reality they're just patches of dusty dirt unhappy ,0
834,Good evening happy,1
1961,Sooooo feels like a Friday today unhappy ,0
1758, but i can't,0
624,  the perfect dress,1
286,lets agree she put her brain on knees crying with joy,1
335,oh my god it's raining where i live too crying with joy  AND STOP OMG I WANNA CUDDLE HIM NOW,1
216,Just wandering around,1
2169,One of my faves too unhappy  I'm tying to get it up on Vimeo so you guys can still watch it x,0
1877,Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,0
853,for my 2000th tweet i'd like to say i love donghyuck :D,1
1815,That makes me sad. unhappy  I wasn't friends with her like you,0
1297,Oh mince unhappy ,0
2007,seem I want to drop this account to wuhyungwon unhappy  ,0
1906,I wish I was meeting OA again unhappy ,0
1239,Ah alright,0
46, rather,1
1832,Just please look at how scared and full of tence lauren's face is after tryin reaching camila's hand,0
658, and have yourself a groovy Thursday!  happy,1
2077,22 is old unhappy ,0
1881,Pierces like a bitch unhappy ,0
1644,I was actually looking forward to seeing if your theory around his personal vote was correct unhappy ,0
1080,Hey thanks for being top new followers this week! Much appreciated happy.4,1
1495,I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part crying  ,0
232,so inspiring crying with joy,1
500,Exaseetly what's happening in TN Politisees. This is not to get BJP at all to TN. Game is different. Again.1,1
411,Thanks for the recent follow Happy to connect happy  have a great Thursday..5,1
1027,.listen to this beautiful video of her si,1
76,dope!! that's a cool word. finally down with the hip young millenial memers smile,1
918,Myth is a good Team,1
1621,Haha mate its all good I love a debte I just wished the center ,0
949,Play your part in raising funds for :,1
1087,I love laying in a meadow of flowers listening to Mellow's music ...a great way to relax smile,1
5,Good luck to Rich riding for great project in this Sunday. Can you donate?,1
669,Thank you happy.1,1
1232,i feel bad for doing that AHAHA unhappy ,0
2130,there are some rumors going around and videos of his performances on youtube have already been deleted.. ,0
1414,i can't continue this right now because the lighting is shitty as f i swear sorry sad ,0
1344,mannn,0
346,Good luck Swampy happy,1
297,thank you for sharing happy,1
1569,i don't like their songs after debyout younhappy  so i can syouggest yoyou jyoust one song i really love,0
1280,have to work unhappy  but i'll see you tomorrow!! ,0
471,Thanks by has  notice of me Greetings : JossetteD'Hermanni,1
1544,Yeah! My sight reading was pretty good in high school,0
1179,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.7,1
2036,Sorry I didn't make it to the book drive yesterday couldn't get outta work unhappy ,0
1618, if i get 900 retweets and 900 likes. help me :(un.1,0
1892,what if the one direction (band)  itself is the one who's giving up? unhappy  ,0
414, DRAGON  MORE! OMG :D,1
1533,You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! unhappy ,0
1249,i really want one of those iconic jimin stripes turtleneck shirt unhappy ,0
710,Ooh,1
887,thanks for the recent follow.2,1
755,25x25? I can go first happy,1
2039,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .7,0
1446,Not tired and there's nothing to do great combo unhappy ,0
2001,my puppies deserves all better unhappy  ,0
1442,it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,0
483, any updates about the batch 1 of army bomb v2? happy,1
378,Still live!,1
1506,sadly yes. since he was expected to continue losing support before dropping bombs unhappy  going up when expe ,0
809,Jyoust a reminder... thank you for this happy,1
498,Stats for the week have arrived. 1 new follower and NO unfollowers happy  via.1,1
825,I had but I have just seen the email. SO GOOD :D,1
1688,Left few months in HinHua ler unhappy  I need to gambateh wink  ,0
1913,Note to self: Dont get to attached crying ,0
2170,dang guess my plans are ruined unhappy  ,0
997,Hellooo happy  Jackatkinson (jackat13),1
508,Thank you crew happy.2,1
1851,my heart unhappy  ,0
876,.NOTHING CHANGED BUT THE DATE .. APRIL 28 MAKE S,1
633,Home run !!!! And yes Charlie is at the game happy,1
1422,When your online crush comes to the meet-up without their Snapchat filter unhappy  ,0
1348,I just hope I start getting the 1GB data per day from tonight!! unhappy ,0
1582,you're got to disappear half way too? unhappy  everybody want to being lazy eue,0
1234,His face looks bloated unhappy  baby get well soon ,0
723,Thanks for the recent follow Happy to connect happy  have a great Thursday..12,1
1546,Me to self: don't buy that.Also me: but I'm a furry unhappy  ,0
143,i want to learn the choreo but my ugly body says no crying with joy,1
123, comforting London fog.,1
1259,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .2,0
1691,prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face unhappy ,0
450,You kills me crying with joy,1
1747,only pure evil people unhappy ,0
580, going to see what's about and speak to people that live near to me and see what they use happy,1
992,well..human. That's all i,1
300, Keep,1
2113,Hi Mahima! We share your concern unhappy  Please DM us your contact details so that we can get in touch for a detailed.. cont1,0
2257,.I can't believe this hasn't been fixed yet,0
212,The best community gathering coming up! We're full,1
53,Oh,1
1823,you might set the whole place on fire.  ,0
1382,Goodnight princess,0
1726,baby unhappy  ,0
547, I really appreciate it. Hope you have a brilliant day happy,1
1685, the other half of the time it crashes unhappy  It's embarassing when I' ,0
1989,[thinks about how tfp soundwave is forever trapped in the void realm] unhappy ,0
469,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it,1
1662,Late nights ,0
1759,i just want to wish marissa a happy birthday but she keeps ignoring me sad ,0
144,Share the love you're top engaged community members this week! Much Appreciated happy,1
810,Your body hears everything your mind says. Be kind,1
265, now I'm really out. happy,1
1357,Sciatica. What a monumental pain in the arse. unhappy ,0
2229,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number.. cont1.1,0
815,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?.3,1
2035,DONT LAUGH unhappy  MEANIE BASE ,0
488,minah starts crying because of the fans and yura  hyeri make her laugh to cheer her up.. I can't crying with joy,1
362,On our way home happy  happy si Noah sa skyranch,1
771, i was telling you to read a book today. knowledge is power. knowledge is growth. kee.1,1
1967,my boyfriend mad cute unhappy ,0
2283,I miss Temperance Brennan and Seeley Booth so much unhappy .2,0
189, this worked out beautifully. If you redesign the import page to suit the whole application would mak,1
1154,I'm happy   happy,1
1458,Koalas are dying of thirst  and it's all because of us unhappy  .2,0
1869,and he's still taking over a quarter of the billboard charts while x is,0
1946,Faltan Russel  why Noodle unhappy ,0
108,The video will definitely be a 30 minute episode if not longer.,1
765,Update: I got in :D,1
1406,ally unhappy  I can't make a poem about being cute ,0
9,C'mon Tweeps,1
2248,More than just a picture unhappy  ,0
1997,so sorry I havent been checking my tweets unhappy  We are all here for you!,0
3,Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes  Share :)Fb Page :...,1
1467,heeeeey notice me unhappy ,0
213, but here's how you can be a part of this happy,1
792,A little bit overdramatic death happy,1
913,Sure do! happy,1
1643,No girl unhappy  that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.,0
12,Yay another art raffle! Everything you need to know is in the picture :D,1
1947,yeah i am unhappy  thank you so much my angel ,0
1671,why is life so unfair? unhappy ,0
718, instead of just money,1
92,Keep tweeting team. Higher! Thank you for the efforts. :)KISSES TheFashionIcon,1
599,happy birthday ! happy  hope you have a good one,1
1948,i miss jihoon sad .1,0
1800,Gotta keep trying before i have to quit to work unhappy  pick me please! give ,0
930,Wow! My friend Dara shared this from her hubby!!! He looks TERRIFIC. :)Order YOURS here -,1
1146,And you were there happy,1
1510,But the dub is what I watch for Pokemon unhappy ,0
510, I protect it with a layer of fat :)KISSES TheFashionIcon,1
1596,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. unhappy  ,0
153,LEGO_Group: LegoThursdays JokerSquad_SWG LEGOLANDWindsor Sounds like you had lots of fun! happy,1
1053,Thanks for the recent follow Happy to connect happy  have a great Thursday..25,1
785,On moral grounds this verdict is in favor of PTI happy  becoz to  out of 5 judges clearly mention that our PM is...,1
1835,You can have mine and I'll take the iPhone. I'm switching back when my contract is up... in a year and a half unhappy ,0
996,Just a new happy,1
1883,wow this is amazing but i won't be in the country unhappy  ,0
2069, but no sign.,0
1292,Her back unhappy  ,0
329, which is good for him happy,1
494,Thank you happy,1
2132,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.14,0
942,rt if you hate me crying with joy,1
2292, whats crazy is when i walked through them doors EVERY ADMINISTRATION + HER WAS THERE THAT NIGHT. so why are her a,0
426,Shihaaaa help me on my bishie hunttt equals  ^ equals ),1
152,Maybe not a band but we can definitely collab! Hi my name is Philip  happy,1
1571,Jackson unhappy  then Youngjae silence  aww,0
1328, just kept going unhappy  ,0
1358,This escalated quickly,0
274, much appreciated happy,1
1937,younhappy  I'll keep it jyoust for you,0
1637,Post-show blues are hitting hard. unhappy ,0
611,Jem did the Dark Star Orianna splash with assistance from Alex! :D She's done lots of splash updates,1
843,Make them feel that you are there to listen to their problems,1
1598,We All Know unhappy  ,0
347,What to do when you are feeling bad - buy a new book and get engrossed into a new world happy,1
2085,Today is 4-20 which is Hitler's birthday unhappy  ,0
4,Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage,1
1969,good morning i had a nightmare and i'm still wondering why maddie hates me. this is only the beginning of the day unhappy ,0
119,Very cool! happy  surrounds you for a full recovery.,1
835,Goals of 2017: Become apart of with and Lose 50 LBSStart Youtube happy,1
207, Byron in 3 weeks,1
1752,Kante why do broke girls love exposing broke niggars so much? Where's the team spirit? unhappy ,0
2252, I'm so glad I have you ,0
1363,No stream tonight! Throat is killing me. unhappy ,0
1385,Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn sad ,0
776, if you follow and DM us we will be able to assist you. Chris happy,1
1805,getting up this morning was a hassle unhappy ,0
1998,Aww unhappy  I'm on Coeurl,0
898,Client work for rt and favorite happy.2,1
350,Have you smiled today? Never forget to smile happy,1
2200,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for us to.. cont1,0
1364,Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,0
575,more goodies spotted! :D,1
1660,I miss my baby unhappy ,0
1362,Her back unhappy  .2,0
427,Puzzle Pieces [64]rt and like for the next please :){20 rts,1
1461, but I can't make it unhappy  Thanks for the heads up though. Please take photos!,0
1974,Deep scratch ;_;All the paint is gone  you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon unhappy ,0
1241, but what camera you shooting with,0
1610,NMD R2's so ugly unhappy  ,0
377,Surround yourself with positivity happy,1
1471, my dog who my family have had for 18 years is being put down tomorrow unhappy ,0
85,My other accounts:them both or get rekt! :D,1
1843,sorry unhappy  i just need sex for the time being,0
1831,Definitely my arms unhappy  .3,0
627,Share the love you're top engaged community members this week! Much Appreciated happy.2,1
1219,Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,0
1931,sometimes at night i feel scared and vulnerable crying ,0
2139,just now I saw. But you did not reply unhappy ,0
163,Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D,1
902,Maybe I do,1
2104,Baaaper unhappy  ,0
308, Hi,1
1859,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.10,0
1789,the saddest part of my day everyday is when ryan has to leave at 5:30 am unhappy ,0
397,Not in the tweet I ve meant the article itself happy,1
2105,Roc Boyz sad  .2,0
639, Order what ever you want to eat through our website.May you all have a great day happy.2,1
931,Annapurna studios production no.29 on floors tomorrow. In this heat we are going to turn on the heat happy  can't expre,1
565,? News ? :D,1
1845,wants to say HI to you.,0
574,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get it,1
742,HAPPY BIRTHDAY  To the cyoutest/fyounniest   a d you l t   I know :')Have a good day Coreo Boreo,1
367,Everything is a choice happy,1
518,Happy 10th Wedding Anniversary Aishwarya Rai-Abhishek Bachchan happy,1
504,thanks for the recent follow. Much appreciated happy  Want this ?,1
345,Yeaaaah! Alpha Invitation well received happy,1
1435,i cant deathmatch you piss off unhappy ,0
884,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.3,1
2222,Weare are u? unhappy  ,0
2121, the new one just seems a bit unstable unhappy ,0
779,Maayos didn%27t ang lahat happy  lets give him a space and time happy,1
2261,FAMOUS sa facebook ,0
1192,Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,0
978,Thanks for sharing my iris photo. I really appreciate it smile.1,1
1630,Autograph book at the ready,0
1924,Need your help guys crying  ,0
802,Thanks for the recent follow Happy to connect happy  have a great Thursday..15,1
1668,ikr. I would have trauma if i ware him unhappy ,0
704,Thank you so much Willow! You helped me ring in the birthday with that amazing stream last night :D,1
2055,please answer request.  unhappy ,0
896, much appreciated happy  (Want this for It's Magical!,1
2015,I miss it already unhappy ,0
951,especially for people who have low patience level happy,1
1988, now I need a different pinned tweet unhappy  ,0
2212,This is so damn touching. unhappy  ,0
217, popping into a store,1
1647,Her back unhappy  .4,0
1389,Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,0
116,Thanks for the retweets this week. Much appreciated happy   Want this,1
2294,YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways .9,0
635, I say TUNA happy,1
1905,i left my headphones at home unhappy  kms,0
1855,i really feel for that lamp unhappy ,0
819,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Get FREE?,1
2214,I want to be cuddled up having someone do that little back trace thing to put me to sleep unhappy ,0
2233,hawhaw crying  ,0
91,have you tried these new hacks?! **TRYING DUMB LIFE HACKS 17**,1
1351,I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,0
